business_id,name,category,rating,price,address,latitude,longitude,reviews
0ac5lGA_0wdKDnib3y59Xg,Flor De Maiz,"['Cocktail Bars', 'Mexican']",4.0,$$,"29 E Cabrillo Blvd Santa Barbara, CA 93101",34.41319173950262,-119.68843790296097,"[""Food is amazing. The service impeccable and the cocktails are to die for. \nThe location overlooking the pier couldn't be better! \nYou won't be disappointed!"", ""If you're in the mood for Latin American cuisine, Flor de Maiz is worth checking out. The restaurant has a cozy atmosphere and the service is friendly.\n\nI..."", 'Great restaurant for some Mexican cuisine with higher-end ingredients! To start off, I loved the free tortilla chips and salsas! For the main courses, we...']"
edJoBsse6nsF0BYh6pATAg,The Palace Grill,"['Cajun/Creole', 'American (New)', 'Seafood']",4.5,$$,"8 E Cota St Santa Barbara, CA 93101",34.4179958951706,-119.696310046586,"[""I normally skip Cajun food outside of New Orleans because most places are either too bland, too salty, or just doesn't taste right. The Palace Grill is..."", ""If you've been to NOLA, you know good Cajun / southern food.  I gotta say, this place is pretty close to the original thing!\n\nStarted out w/ the Cajun..."", ""The sound of Jazz permeates the air. Soon you are met with the aroma of spicy New Orleans inspired dishes. A step inside The Palace and you're instantly...""]"
nYPzsOjvida-ne7swSPHpA,Santo Mezcal,"['Mexican', 'Latin American', 'Cocktail Bars']",4.5,$$,"119 State St Santa Barbara, CA 93101",34.413456,-119.691322,"['We were there on a busy Saturday night. I recommend adding your name to the waitlist on Yelp. Our table on the patio was ready when we arrived. The tables...', 'Stumbled on this restaurant while on a birthday trip with a friend in Santa Barbara. We ate here twice during our weekend trip so that should tell you all...', 'I will premise this and say that, if it was up to their Tequila and Mezcal menu, it would be five (6) stars... No question...\nI am a Tequila aficionado...']"
oGDGlUbOjHxmmCh8ZYcDCg,The Lark,"['American (New)', 'Cocktail Bars']",4.0,$$$,"131 Anacapa St Ste A Santa Barbara, CA 93101",34.4148777,-119.690279,"[""I'll be thinking about this food for a long time to come. We were there for Sunday brunch. Pictured: arugula salad, garlic fries, pork belly Benedict, and..."", 'Great ambiance inside not going to lie!\n\nIt took 15 minutes just to get water, the hangover fries were undercooked, the sourdough and cinnamon butter was...', 'By far one of my favorite dining experiences of all time! Not only were the food and drinks fantastic - seriously no misses - the service was top notch....']"
f3eve2cxUIzyanWnHdMtFQ,Corazon Cocina,['Mexican'],4.5,$$,"38 W Victoria Unit 122 Santa Barbara, CA 93101",34.42354,-119.70681,"[""Sending off 2022 with a review of a little food counter/restaurant found tucked away inside the Santa Barbara Public Market that I've grown to love and try..."", 'We ate from a couple of different places inside the Santa Barbara Public Market food hall and enjoyed the food at Corazon Cocina. The Campechana Quesadilla...', 'Since I was in Santa Barbara for a few days, I had to try more seafood which was how I stumbled on this place located in the public market. The line was the...']"
6HTGlttrzCMsuGBHO1ZGiw,Barbareño,"['American (New)', 'Barbeque', 'Wine Bars']",4.5,$$$,"205 W Canon Perdido St Santa Barbara, CA 93101",34.4180599,-119.70293,"['9/10\n\nEverything was tasty and appealingly plated. Service was solid. \n\nThe bread and butter was really good, but they only give each person one slice, so...', 'Finally was able to try this place!\nPlaced a reservation easily using their website and was able to get same day table inside. The staff is so friendly. The...', 'I took my boyfriend here for his birthday. We went to the restaurant early our reservation was at 5. We had to go back at 5 when they were open. They were...']"
Y57sylYCgq2VQJuBCnjPfA,Oku,"['Sushi Bars', 'Asian Fusion', 'Cocktail Bars']",4.5,$$$,"29 E Cabrillo Blvd Santa Barbara, CA 93101",34.413204,-119.688437,"[""As we know in this lovely city there are a million high end restaurants that offer high end quality food with a view and fancy cocktails. However it's the..."", 'Was looking forward to dining on the rooftop and was taken to our seat after waiting about 10 minutes, where I then found out that ""rooftop dining"" was...', 'I was craving sushi and I wanted us to try something new. I picked this place because of the rooftop view. Everyone that helped us was attentive and kind....']"
q36uZc2hQml10YGHazJaoQ,Secret Bao,['Asian Fusion'],4.5,$$,"1201 Anacapa St Santa Barbara, CA 93101",34.424476936667,-119.70350960920865,"['Though the restaurant called Asian fusion, but there is nothing legit. Literally u cannot taste any legit Asian flavor here but the wired sweet sour sauce...', 'We made it just in time for a Sunday happy hour (daily 5-6pm) and we were thoroughly impressed with the deliciousness of this place.\n\nWe had almost...', 'I love frequenting Secret Bao because they change their menu often! Service is always stellar, although their unique spin on dishes are often a hit or...']"
uZYBF0YTU_iKq4_L_PDtMQ,Zaytoon,"['Lebanese', 'Bars', 'Mediterranean']",4.0,$$,"209 E Canon Perdido St Santa Barbara, CA 93101",34.4229082,-119.6982262,"['I love this Lebanese restaurant! Such a great representative of savory and sweet delicious Middle Eastern food! \n\nI have been to this restaurant when I...', '***TERRIBLE FOOD POISONING***\n***MANAGER IN DENIAL AND UNWILLING TO ADMIT FAULT***\n***AVOID***\n\nMy wife and I came here for our tenth wedding Anniversary....', ""Food, service, wine and ambience worth 5 stars .\nHow do you expect patrons to eat Mezza without Pita ?!\nExactly !!\n\nWhy don't you bury a $2 charge into your...""]"
NIQWO-Q_F598XlAvZnFVCA,Eureka!,['American (Traditional)'],4.0,$$,"601 Paseo Nuevo Santa Barbara, CA 93101",34.4186116,-119.7001508,"['My family and I were staying at a resort in Oxnard....the power went out in the whole resort, and the surrounding area of Oxnard.  The power was out for...', 'Stopped here on our way into town for a late dinner. We were seated right away but asked if we could move, as it was cold next to the door. We moved to a...', ""If you're looking for a bite after 8pm in downtown Santa Barbara, this is definitely your spot. The hostess recommended the macaroni and cheese balls, which...""]"
